Index	EN	FR
1	When	Quand
2	Who	Qui
3	What	Quoi
4	Where	Où
5	Status	Etat
6	Action for	Action pour
7	Access control	Accès contrôlé
8	found in : 	trouvés en : 
9	Select in tree view	Sélectionner dans l'arborescence
10	Search folder	Rechercher dossier
11	Search document	Rechercher document
12	New document	Nouveau document
13	Note	Note
14	Texte	Texte
15	Presentation	Présentation
16	Spreadsheet	Feuille de calcul
17	...	...
18	Previous selection	Sélection précédente
19	Next selection	Sélection suivante
20	Add	Ajouter
21	Delete	Supprimer
22	Move in documents	Entrer documents
23	Move out documents	Sortir documents
24	Open/close tree view panel	Ouvrir/fermer le volet arborescence
25	Copy to ZAAN\copy	Copier dans ZAAN\copy
26	Select all	Tout sélectionner
27	Rename	Renommer
28	New mail	Nouveau courrier
29	Do you confirm the deletion of selected documents from ZAAN database ?	Confirmez-vous la suppression des documents sélectionnés de la base de données ZAAN ?
30	Quick start guide	Guide de démarrage rapide
31	Open/close viewer panel	Ouvrir/fermer le volet visionneuse
32	Tree view panel visible	Volet arborescence visible
33	Viewer panel visible	Volet visionneuse visible
34	Import panel visible	Volet import visible
35	Reset selector	Réinitialiser le sélecteur
36	Add as external folder	Ajouter en dossier externe
37	No folder found !	Dossier introuvable !
38	End of folder search !	Fin de la recherche de dossier !
39	No document found !	Document introuvable !
40	End of document search !	Fin de la recherche de document !
41	Do you confirm the deletion of selected documents from ZAAN\import folder ?	Confirmez-vous la suppression des documents sélectionnés du dossier ZAAN\import ?
42	Do you confirm the deletion of selected documents from ZAAN\copy folder ?	Confirmez-vous la suppression des documents sélectionnés du dossier ZAAN\copy ?
43	Multi dimensional document management	Gestion documentaire multi-dimensionnelle
44	Document	Document
45	Size (Kb)	Taille (Ko)
46	Modification date	Date de modification
47	About ZAAN	A propos de ZAAN
48	ZAAN.com authorized reseller	Revendeur agréé ZAAN.com
49	Sorry, ZAAN application will be closed because no license key has been found !	Désolé, l'application ZAAN va être fermée car aucune clé de licence n'a été trouvée !
50	Type	Type
51	This folder move is not allowed !	Ce déplacement de dossier n'est pas autorisé !
52	Please enter your Email and get a license key by clicking on button "Get a license key"	Veuillez entrer votre Email et obtenir une clé de licence en cliquant sur le bouton "Obtenir une clé de licence"
53	Please enter your Email !	Veuillez entrer votre Email !
54	Your Email :	Votre Email :
55	License type :	Type de licence :
56	Valid until end of :	Valide jusqu'à fin :
57	Get a license key	Obtenir une clé de licence
58	EN : English	FR : Français
59	Select today's date	Sélectionner la date d'aujourd'hui
60	Please check ZAAN start-up procedure on www.zaan.com or contact us at info@zaan.com	Veuillez vérifier la procédure de démarrage de ZAAN sur www.zaan.com ou nous contacter à info@zaan.com
61	It is not possible to modify a tree root name !	Il n'est pas possible de modifier le nom d'une racine d'arborescence
62	This folder is empty : do you want to create a new ZAAN database ?	Ce dossier est vide : voulez-vous créer une nouvelle base de données ZAAN ?
63	Select or create a ZAAN database	Sélectionner ou créer une base de données ZAAN
64	Export ZAAN cube	Exporter cube ZAAN
65	Language :	Langue :
66	Refresh	Actualiser
67	Selected folder is not a ZAAN database and is not empty for creating one !	Le dossier sélectionné n'est pas une base de données ZAAN et n'est pas vide pour en créer une !
68	Creation of ZAAN folder in (My)Documents failed ! ZAAN application will be closed !	Echec de la création du dossier ZAAN dans (Mes)Documents ! l'application ZAAN va être fermée !
69	Check your license key	Vérifier votre clé de licence
70	Select a destination folder	Sélectionnez un dossier de destination
71	Change folder	Changer de dossier
72	doc. to file	doc. à classer
73	doc. to delete	doc. à supprimer
74	new	nouveau
75	Sorry, you cannot store more than 1 000 documents with ZAAN Basic (free limited license) !	Désolé, vous ne pouvez pas enregistrer plus de 1 000 documents avec ZAAN Basic (licence gratuite limitée) !
76	Cut	Couper
77	Copy	Copier
78	Paste	Coller
79	Entry not allowed !	Entrée non valide !
80	Open/close import panel	Ouvrir/fermer le volet d'import
81	folders	dossiers
82	documents	documents
83	Documents	Documents
84	Show/hide matrix	Afficher/masquer la matrice
85	Show/hide tree view	Afficher/masquer l'arborescence
86	Show/hide favorite cubes	Afficher/masquer les cubes favoris
87	Image mode	Mode image
88	Night mode	Mode nuit
89	Add this cube to favorites	Ajouter ce cube aux favoris
90	Delete this favorite	Supprimer ce favori
91	ZAAN user manual will be downloaded. Once open, you may save it in :	Le manuel utilisateur ZAAN va être téléchargé. Une fois ouvert, vous pouvez l'enregistrer dans :
92	Do you confirm the automatic renaming of selected documents from ZAAN database ?	Confirmez-vous le renommage automatique des documents sélectionnés de la base de données ZAAN ?
93	Rename automatically	Renommer automatiquement
94	This folder does not exist anymore !	Ce dossier n'existe plus !
95	Multiple folders addition terminated ! Next addition is locked during :	L'ajout multiple de dossiers est terminée ! Le prochain ajout est verrouillé pendant :
